index,category,definition,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,sounds,baa baa,0.47,0.57,0.61,0.68,0.71,0.62,0.78,0.77,0.79,0.82,0.82,0.82,0.9,0.86,0.92
2,sounds,choo choo,0.28,0.33,0.5,0.59,0.61,0.57,0.73,0.78,0.8,0.84,0.84,0.85,0.95,0.87,0.93
3,sounds,cockadoodledoo,0.13,0.11,0.19,0.25,0.27,0.33,0.39,0.38,0.5,0.53,0.56,0.53,0.75,0.57,0.73
4,sounds,grrr,0.54,0.57,0.63,0.66,0.66,0.63,0.75,0.8,0.83,0.79,0.86,0.81,0.94,0.83,0.89
5,sounds,meow,0.5,0.49,0.68,0.72,0.73,0.79,0.82,0.86,0.9,0.9,0.94,0.91,0.97,0.93,0.97
6,sounds,moo,0.55,0.61,0.71,0.76,0.78,0.76,0.85,0.91,0.9,0.9,0.91,0.9,0.97,0.93,0.97
7,sounds,ouch,0.43,0.45,0.6,0.65,0.73,0.75,0.75,0.87,0.84,0.87,0.89,0.9,0.95,0.89,0.94
8,sounds,quack quack,0.46,0.46,0.57,0.62,0.68,0.62,0.75,0.82,0.83,0.85,0.89,0.83,0.95,0.86,0.96
9,sounds,uh oh,0.76,0.78,0.87,0.9,0.9,0.89,0.9,0.93,0.94,0.94,0.95,0.93,0.98,0.94,0.96
10,sounds,vroom,0.49,0.46,0.59,0.63,0.57,0.65,0.68,0.72,0.76,0.73,0.72,0.71,0.87,0.73,0.81
11,sounds,woof woof,0.6,0.63,0.72,0.75,0.74,0.75,0.81,0.86,0.88,0.87,0.9,0.88,0.96,0.91,0.94
12,sounds,yum yum,0.56,0.53,0.61,0.64,0.64,0.58,0.66,0.73,0.72,0.77,0.81,0.67,0.89,0.77,0.85
13,animals,alligator,0.03,0.05,0.1,0.13,0.18,0.21,0.28,0.38,0.46,0.5,0.61,0.58,0.8,0.72,0.79
14,animals,animal,0.05,0.07,0.14,0.23,0.25,0.3,0.44,0.5,0.56,0.55,0.65,0.7,0.81,0.73,0.83
