"Age","Freq_100000w","Freq","No_of_transcripts","TotalFreq","Word","LogFreq"
"12","0","0","180","15597","asleep",0
"15.0","29","1","87","33500","asleep",0.301029995663981
"18.0","70","6","243","84684","asleep",0.845098040014257
"21.0","97","16","297","164518","asleep",1.23044892137827
"24.0","133","38","456","284427","asleep",1.5910646070265
"27.0","171","69","616","402831","asleep",1.84509804001426
"30.0","127","52","486","406497","asleep",1.72427586960079
"33.0","78","26","361","332325","asleep",1.43136376415899
"36.0","82","20","250","242145","asleep",1.32221929473392
"39.0","42","8","236","189088","asleep",0.954242509439325
"42.0","44","7","215","156791","asleep",0.903089986991944
"45.0","51","8","249","156558","asleep",0.954242509439325
"48.0","64","9","221","140589","asleep",1
"51.0","62","7","154","112895","asleep",0.903089986991944
"54.0","25","10","173","385725","asleep",1.04139268515823
"57.0","52","6","182","113300","asleep",0.845098040014257
"60.0","62","5","120","80352","asleep",0.778151250383644
"63.0","0","0","108","48940","asleep",0
"66.0","57","3","157","52266","asleep",0.602059991327962
"69.0","99","4","117","40283","asleep",0.698970004336019
"12","0","0","180","15597","awake",0
"15.0","0","0","87","33500","awake",0
"18.0","47","4","243","84684","awake",0.698970004336019
"21.0","36","6","297","164518","awake",0.845098040014257
"24.0","123","35","456","284427","awake",1.55630250076729
"27.0","34","14","616","402831","awake",1.17609125905568
"30.0","22","9","486","406497","awake",1
"33.0","12","4","361","332325","awake",0.698970004336019
"36.0","12","3","250","242145","awake",0.602059991327962
"39.0","21","4","236","189088","awake",0.698970004336019
"42.0","51","8","215","156791","awake",0.954242509439325
"45.0","0","0","249","156558","awake",0
"48.0","7","1","221","140589","awake",0.301029995663981
"51.0","8","1","154","112895","awake",0.301029995663981
"54.0","12","5","173","385725","awake",0.778151250383644
"57.0","17","2","182","113300","awake",0.477121254719662
"60.0","49","4","120","80352","awake",0.698970004336019
"63.0","20","1","108","48940","awake",0.301029995663981
"66.0","0","0","157","52266","awake",0
"69.0","0","0","117","40283","awake",0
"12","0","0","180","15597","bad",0
"15.0","328","11","87","33500","bad",1.07918124604762
"18.0","153","13","243","84684","bad",1.14612803567824
"21.0","91","15","297","164518","bad",1.20411998265592
"24.0","140","40","456","284427","bad",1.61278385671974
"27.0","213","86","616","402831","bad",1.93951925261862
"30.0","346","141","486","406497","bad",2.15228834438306
"33.0","303","101","361","332325","bad",2.00860017176192
"36.0","289","70","250","242145","bad",1.85125834871908
"39.0","486","92","236","189088","bad",1.96848294855394
"42.0","637","100","215","156791","bad",2.00432137378264
"45.0","689","108","249","156558","bad",2.03742649794062
"48.0","590","83","221","140589","bad",1.92427928606188
"51.0","841","95","154","112895","bad",1.98227123303957
"54.0","443","171","173","385725","bad",2.23552844690755
"57.0","485","55","182","113300","bad",1.7481880270062
"60.0","323","26","120","80352","bad",1.43136376415899
"63.0","817","40","108","48940","bad",1.61278385671974
"66.0","822","43","157","52266","bad",1.64345267648619
"69.0","471","19","117","40283","bad",1.30102999566398
"12","0","0","180","15597","better",0
"15.0","0","0","87","33500","better",0
"18.0","59","5","243","84684","better",0.778151250383644
"21.0","322","53","297","164518","better",1.73239375982297
"24.0","432","123","456","284427","better",2.09342168516224
"27.0","461","186","616","402831","better",2.2718416065365
"30.0","629","256","486","406497","better",2.40993312333129
"33.0","484","161","361","332325","better",2.20951501454263
"36.0","499","121","250","242145","better",2.08635983067475
"39.0","692","131","236","189088","better",2.12057393120585
"42.0","465","73","215","156791","better",1.86923171973098
"45.0","568","89","249","156558","better",1.95424250943932
"48.0","540","76","221","140589","better",1.88649072517248
"51.0","593","67","154","112895","better",1.83250891270624
