"Word","Age","Freq","LogFreq"
"a","16",34,1.54406804435028
"about","16",2,0.477121254719662
"above","16",3,0.602059991327962
"after","16",2,0.477121254719662
"all","16",95,1.98227123303957
"alligator","16",28,1.46239799789896
"am","16",4,0.698970004336019
"an","16",3,0.602059991327962
"and","16",10,1.04139268515823
"animal","16",476,2.67851837904011
"another","16",41,1.6232492903979
"ant","16",48,1.69019608002851
"any","16",4,0.698970004336019
"apple","16",696,2.84323277809801
"are","16",4,0.698970004336019
"arm","16",172,2.2380461031288
"around","16",6,0.845098040014257
"asleep","16",33,1.53147891704226
"at","16",10,1.04139268515823
"aunt","16",122,2.0899051114394
"awake","16",7,0.903089986991944
"away","16",143,2.15836249209525
"baby","16",132,2.12385164096709
"back","16",76,1.88649072517248
"bad","16",103,2.01703333929878
"ball","16",142,2.15533603746506
"balloon","16",282,2.45178643552429
"banana","16",77,1.89209460269048
"bath","16",45,1.66275783168157
"be","16",8,0.954242509439325
"beach","16",64,1.81291335664286
"beads","16",70,1.85125834871908
"bear","16",353,2.54900326202579
"because","16",2,0.477121254719662
"bed","16",215,2.33445375115093
"bee","16",327,2.51587384371168
"before","16",1,0.301029995663981
"behind","16",5,0.778151250383644
"better","16",7,0.903089986991944
"bib","16",44,1.65321251377534
"big","16",205,2.31386722036915
"bird","16",549,2.74036268949424
"bite","16",23,1.38021124171161
"black","16",21,1.34242268082221
"blanket","16",100,2.00432137378264
"block","16",84,1.92941892571429
"blow","16",62,1.79934054945358
"blue","16",478,2.68033551341456
"book","16",158,2.20139712432045
"boots","16",224,2.35218251811136
"bottle","16",128,2.11058971029925
"bowl","16",270,2.43296929087441
"box","16",402,2.60530504614111
"boy","16",8,0.954242509439325
"bread","16",48,1.69019608002851
"break","16",48,1.69019608002851
"breakfast","16",62,1.79934054945358
"bring","16",388,2.58994960132571
"broken","16",365,2.56348108539441
"broom","16",206,2.31597034545692
"brother","16",66,1.82607480270083
"brown","16",15,1.20411998265592
"brush","16",226,2.35602585719312
"bubbles","16",136,2.13672056715641
"bug","16",282,2.45178643552429
"bump","16",12,1.11394335230684
"bunny","16",360,2.55750720190566
"bus","16",28,1.46239799789896
"but","16",3,0.602059991327962
"butter","16",80,1.90848501887865
"button","16",33,1.53147891704226
"by","16",12,1.11394335230684
"bye","16",5,0.778151250383644
"cake","16",82,1.91907809237607
"candy","16",728,2.86272752831797
"car","16",62,1.79934054945358
"carrots","16",96,1.98677173426624
